artist_name,artist_id,deezer_fans,deezer_rank,picture_url,deezer_link,top_track_name,top_track_rank,top_track_duration,genero
Rock Latino,122280072,167,0,https://cdn-images.dzcdn.net/images/artist/815336083550e4c566f62f0170d5587c/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/122280072,N/A,0,0,rock latino
D.J. Reggaeton,347376,164,0,https://cdn-images.dzcdn.net/images/artist/272c0400cdf95f3e4a275e53c5e2c6a4/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/347376,Cae La Noche,31689,177,reggaeton
Salsa Power Band,280272751,164,0,https://cdn-images.dzcdn.net/images/artist/8d9424d8238eeee64f0d9cae7d780860/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/280272751,Sandra Mora,331118,287,salsa
Musica Electronica Nueva,225175085,153,0,https://cdn-images.dzcdn.net/images/artist/38109a4ef2abc41105419adc9ba0f541/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/225175085,Música para Superar tus Límites,101493,193,electrónica
Pop Latino Crew,11281880,148,0,https://cdn-images.dzcdn.net/images/artist/d77811db37b828bb52744d2b7dbf0b62/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/11281880,N/A,0,0,pop latino
Dj Electronica,5168338,133,0,https://cdn-images.dzcdn.net/images/artist/b404ac3fe31df980f7c8b9ef8aa9f857/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/5168338,Solver,64990,180,electrónica
Trio Latino,123656,130,0,https://cdn-images.dzcdn.net/images/artist/4b0ca84f77172688d2841b7ca5a2acad/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/123656,Tres Regalos,33322,176,trap latino
Urbano Prodigy,5571484,129,0,https://cdn-images.dzcdn.net/images/artist/7d93410f2a8bb359d4a4bbe630cfecca/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/5571484,N/A,0,0,urbano
The Kings of Reggaeton,1408043,101,0,https://cdn-images.dzcdn.net/images/artist/e6fb8cb428f57d05de206583317d62d5/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/1408043,Still loving you,113825,242,reggaeton
Urbano de Castro,1427583,93,0,https://cdn-images.dzcdn.net/images/artist/22bcc8404f288122776129a57d210219/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/1427583,Kia Lumingo,22458,210,urbano
Indie Allen,14164191,85,0,https://cdn-images.dzcdn.net/images/artist/12c527e3837c5fd5ea86d20fdc696d51/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/14164191,Lose Control,435290,205,indie
